episodes,rewards,steps
0,-9.99999999999998,100
1,-9.99999999999998,100
2,-1.2980000000000005,22
3,-9.99999999999998,100
4,-8.709999999999985,90
5,-3.3690000000000015,41
6,-3.914,46
7,-9.99999999999998,100
8,-9.99999999999998,100
9,-7.1839999999999895,76
10,-4.023,47
11,-9.99999999999998,100
12,-9.99999999999998,100
13,-9.99999999999998,100
14,-7.510999999999989,79
15,-1.7340000000000009,26
16,0.22799999999999998,8
17,-9.99999999999998,100
18,-9.99999999999998,100
19,-9.99999999999998,100
20,-9.99999999999998,100
21,-2.4970000000000017,33
22,-4.132,48
23,-6.638999999999991,71
24,-7.837999999999987,82
25,-4.894999999999997,55
26,-9.99999999999998,100
27,-4.458999999999998,51
28,-4.676999999999998,53
29,-9.99999999999998,100
30,-6.85699999999999,73
31,-9.99999999999998,100
32,-9.99999999999998,100
33,-3.2600000000000025,40
34,-8.491999999999985,88
35,-3.6960000000000006,44
36,-7.401999999999989,78
37,-9.99999999999998,100
38,-9.99999999999998,100
39,-9.472999999999981,97
40,-0.8620000000000004,18
41,-9.99999999999998,100
42,-6.202999999999992,67
43,-9.99999999999998,100
44,-5.657999999999994,62
45,-3.8050000000000006,45
46,-3.3690000000000015,41
47,-4.023,47
48,-0.8620000000000004,18
49,-4.567999999999998,52
50,-4.785999999999997,54
51,-3.151000000000002,39
52,-1.1890000000000005,21
53,-9.99999999999998,100
54,-4.894999999999997,55
55,-5.984999999999993,65
56,-1.5160000000000007,24
57,-8.164999999999987,85
58,-5.548999999999995,61
59,-9.99999999999998,100
60,-4.676999999999998,53
61,-3.151000000000002,39
62,-6.311999999999992,68
63,-0.5350000000000001,15
64,-3.042000000000002,38
65,-0.42600000000000005,14
66,-0.09899999999999987,11
67,-0.7530000000000003,17
68,-3.151000000000002,39
69,-4.676999999999998,53
70,-7.292999999999989,77
71,-4.240999999999999,49
72,-9.99999999999998,100
73,-4.567999999999998,52
74,-8.382999999999985,87
75,-0.6440000000000002,16
76,-6.420999999999992,69
77,-9.99999999999998,100
78,-9.99999999999998,100
79,-9.99999999999998,100
80,-3.2600000000000025,40
81,-0.6440000000000002,16
82,-4.894999999999997,55
83,-4.676999999999998,53
84,-9.99999999999998,100
85,-9.99999999999998,100
86,-3.6960000000000006,44
